"id","name","zipcode","latitude","longitude","state_id/id"
"fr_city_08566","ST JEAN DE COLE","24800","45.4135771577","0.83539033285","cap_contact.fr_departement_24"
"fr_city_08567","ST JEAN D ESTISSAC","24140","45.0375932892","0.504834756989","cap_contact.fr_departement_24"
"fr_city_08568","ST JEAN D EYRAUD","24140","44.9558893594","0.454934411397","cap_contact.fr_departement_24"
"fr_city_08569","ST JORY DE CHALAIS","24800","45.4894020576","0.897020061184","cap_contact.fr_departement_24"
"fr_city_08570","ST JORY LAS BLOUX","24160","45.3421390696","0.9470147152","cap_contact.fr_departement_24"
"fr_city_08571","ST JULIEN DE CREMPSE","24140","44.9499013406","0.521917380257","cap_contact.fr_departement_24"
"fr_city_08572","ST JULIEN DE LAMPON","24370","44.8619888633","1.38181461735","cap_contact.fr_departement_24"
"fr_city_08573","ST JULIEN D EYMET","24500","44.7219746526","0.434660918306","cap_contact.fr_departement_24"
"fr_city_08574","ST JUST","24320","45.335415501","0.498491614935","cap_contact.fr_departement_24"
"fr_city_08575","ST LAURENT DES HOMMES","24400","45.0440019083","0.253242646867","cap_contact.fr_departement_24"
"fr_city_08576","ST LAURENT DES VIGNES","24100","44.823708986","0.445904004567","cap_contact.fr_departement_24"
"fr_city_08577","ST LAURENT LA VALLEE","24170","44.7515526653","1.11564221671","cap_contact.fr_departement_24"
"fr_city_08578","ST LEON D ISSIGEAC","24560","44.7210156479","0.699300856862","cap_contact.fr_departement_24"
"fr_city_08579","ST LEON SUR L ISLE","24110","45.1169557791","0.49957697448","cap_contact.fr_departement_24"
"fr_city_08580","ST LEON SUR VEZERE","24290","45.0180206005","1.08035107771","cap_contact.fr_departement_24"
"fr_city_08581","ST LOUIS EN L ISLE","24400","45.0621473038","0.388564917962","cap_contact.fr_departement_24"
"fr_city_08582","ST MARCEL DU PERIGORD","24510","44.916346803","0.703469495464","cap_contact.fr_departement_24"
"fr_city_08583","ST MARCORY","24540","44.7229809189","0.927966166506","cap_contact.fr_departement_24"
"fr_city_08584","STE MARIE DE CHIGNAC","24330","45.1154835454","0.825518871437","cap_contact.fr_departement_24"
"fr_city_08585","ST MARTIAL D ALBAREDE","24160","45.3214362718","1.03713768464","cap_contact.fr_departement_24"
"fr_city_08586","ST MARTIAL D ARTENSET","24700","45.0016039267","0.217039600164","cap_contact.fr_departement_24"
"fr_city_08587","ST MARTIAL DE NABIRAT","24250","44.7473185081","1.24789673551","cap_contact.fr_departement_24"
"fr_city_08588","ST MARTIAL DE VALETTE","24300","45.5124949186","0.633563294913","cap_contact.fr_departement_24"
"fr_city_08589","ST MARTIAL VIVEYROL","24320","45.3606582227","0.336407219846","cap_contact.fr_departement_24"
"fr_city_08590","ST MARTIN DE FRESSENGEAS","24800","45.4533715908","0.841754032741","cap_contact.fr_departement_24"
"fr_city_08591","ST MARTIN DE GURSON","24610","44.9613529177","0.116208017065","cap_contact.fr_departement_24"
"fr_city_08592","ST MARTIN DE RIBERAC","24600","45.2201729451","0.36189635056","cap_contact.fr_departement_24"
"fr_city_08593","ST MARTIN DES COMBES","24140","44.9646004591","0.620912139417","cap_contact.fr_departement_24"
"fr_city_08594","ST MARTIN L ASTIER","24400","45.0589553311","0.323281642748","cap_contact.fr_departement_24"
"fr_city_08595","ST MARTIN LE PIN","24300","45.552556707","0.625868911507","cap_contact.fr_departement_24"
"fr_city_08596","ST MAIME DE PEREYROL","24380","45.019275797","0.654801325879","cap_contact.fr_departement_24"
"fr_city_08597","ST MEARD DE DRONE","24600","45.2508643912","0.40995292242","cap_contact.fr_departement_24"
"fr_city_08598","ST MEARD DE GURCON","24610","44.9112714239","0.177925010262","cap_contact.fr_departement_24"
"fr_city_08599","ST MEDARD DE MUSSIDAN","24400","45.0220026441","0.331868096414","cap_contact.fr_departement_24"
"fr_city_08600","ST MEDARD D EXCIDEUIL","24160","45.3470023438","1.0861340351","cap_contact.fr_departement_24"
"fr_city_08601","ST MESMIN","24270","45.3466363763","1.23648515355","cap_contact.fr_departement_24"
"fr_city_08602","ST MICHEL DE DOUBLE","24400","45.0913598278","0.274915293207","cap_contact.fr_departement_24"
"fr_city_08603","ST MICHEL DE MONTAIGNE","24230","44.8790451767","0.0249387583377","cap_contact.fr_departement_24"
"fr_city_08604","ST MICHEL DE VILLADEIX","24380","44.9924485985","0.731493013563","cap_contact.fr_departement_24"
"fr_city_08605","STE MONDANE","24370","44.8354016232","1.34672272166","cap_contact.fr_departement_24"
"fr_city_08606","STE NATHALENE","24200","44.9135267404","1.28096434427","cap_contact.fr_departement_24"
"fr_city_08607","ST NEXANS","24520","44.8061899952","0.550308411387","cap_contact.fr_departement_24"
"fr_city_08608","STE ORSE","24210","45.2054528162","1.07317374722","cap_contact.fr_departement_24"
"fr_city_08609","ST PANCRACE","24530","45.4239359504","0.665300930124","cap_contact.fr_departement_24"
"fr_city_08610","ST PANTALY D ANS","24640","45.244899363","0.993977905861","cap_contact.fr_departement_24"
"fr_city_08611","ST PANTALY D EXCIDEUIL","24160","45.31204529","1.01148957185","cap_contact.fr_departement_24"
"fr_city_08612","ST PARDOUX DE DRONE","24600","45.2231080483","0.419036833254","cap_contact.fr_departement_24"
"fr_city_08613","ST PARDOUX ET VIELVIC","24170","44.7703624875","0.96095833872","cap_contact.fr_departement_24"
"fr_city_08614","ST PARDOUX LA RIVIERE","24470","45.5030521403","0.748077099274","cap_contact.fr_departement_24"
"fr_city_08615","ST PAUL DE SERRE","24380","45.0809931657","0.633952317617","cap_contact.fr_departement_24"
"fr_city_08616","ST PAUL LA ROCHE","24800","45.4833291569","0.989443506607","cap_contact.fr_departement_24"
"fr_city_08617","ST PAUL LIZONNE","24320","45.3169310321","0.283269437916","cap_contact.fr_departement_24"
"fr_city_08618","ST PERDOUX","24560","44.736661676","0.529957013225","cap_contact.fr_departement_24"
